model,granularity,freq,series_id,horizon,train_size,test_size,MAE,RMSE,MAPE,SMAPE
Naive,global,daily,global,14,168,14,4476.35693359375,5278.64111301384,3.7501352767239613,3.8214130806006392
SeasonalNaive,global,daily,global,14,168,14,10616.642578125,12576.82948918367,9.083842185110905,8.56318066781302
AutoARIMA,global,daily,global,14,168,14,4878.1376953125,6485.818067136944,4.093633266811537,4.218851813535675
AutoETS,global,daily,global,14,168,14,4691.10205078125,5707.368920965247,4.04318438793082,3.9516930898639018
Prophet,global,daily,global,14,168,14,19313.036765502802,19976.930489167433,16.52189502173453,15.172756937094745
Naive,global,weekly,global,4,23,4,666538.25,737873.7165016789,100.0,200.0
SeasonalNaive,global,weekly,global,4,23,4,666538.25,737873.7165016789,100.0,200.0
AutoARIMA,global,weekly,global,4,23,4,666538.25,737873.7165016789,100.0,200.0
AutoETS,global,weekly,global,4,23,4,666538.25,737873.7165016789,100.0,200.0
Prophet,global,weekly,global,4,23,4,666538.25,737873.7044669298,100.0,200.0
Naive,category,daily,Ozon fresh,14,168,14,99.57142639160156,124.50530626869885,5.702615679635085,5.480521188206888
SeasonalNaive,category,daily,Ozon fresh,14,168,14,454.1428527832031,481.52555422843346,24.95962403756156,21.945883177555995
AutoARIMA,category,daily,Ozon fresh,14,168,14,135.90428161621094,145.29789577149768,7.674882589927957,7.359049588383105
AutoETS,category,daily,Ozon fresh,14,168,14,177.83755493164062,187.51084343645303,10.035947224355782,9.501093593909307
Prophet,category,daily,Ozon fresh,14,168,14,895.8139744123873,908.2803654988824,50.110324118422476,39.79626092585006
Naive,category,daily,Аксессуары,14,168,14,1100.7857666015625,1315.1885321124116,5.6567523869172485,5.871686590731608
SeasonalNaive,category,daily,Аксессуары,14,168,14,1060.642822265625,1243.8293190787874,5.6049962335239805,5.596141851594605
AutoARIMA,category,daily,Аксессуары,14,168,14,1122.773681640625,1277.9374006577943,5.825694062327595,5.992753668592316
AutoETS,category,daily,Аксессуары,14,168,14,870.0906982421875,1087.7512353474942,4.557737303863296,4.582413329172716
Prophet,category,daily,Аксессуары,14,168,14,1145.9674763850803,1376.814664940197,6.157592817537412,5.936134564889018
Naive,category,daily,Аптека,14,168,14,6.714285850524902,7.84674647266616,24.44045098323387,20.713648688252466
SeasonalNaive,category,daily,Аптека,14,168,14,7.4285712242126465,8.72598764682816,25.36915800275897,23.7607393661001
AutoARIMA,category,daily,Аптека,14,168,14,4.328566551208496,5.46425963109734,15.30633210852835,13.984844112674288
AutoETS,category,daily,Аптека,14,168,14,4.349989891052246,5.456039567977306,15.252318681785551,14.055112288916213
Prophet,category,daily,Аптека,14,168,14,4.517007998751448,5.362134000109945,15.622597826950773,14.610426862025339
Naive,category,daily,Детские товары,14,168,14,10.214285850524902,13.408419773604766,22.772818359698274,27.39897726903519
SeasonalNaive,category,daily,Детские товары,14,168,14,12.214285850524902,13.915561533161467,33.68008676696668,29.242979893302707
AutoARIMA,category,daily,Детские товары,14,168,14,8.892477035522461,9.782486614995115,24.581048322234984,22.11851925097582
AutoETS,category,daily,Детские товары,14,168,14,7.377457618713379,8.849334140017524,19.099067845308035,18.514237441165854
Prophet,category,daily,Детские товары,14,168,14,7.485553233400063,8.743814633061243,19.758084530126546,18.752019785910754
Naive,category,daily,Дом и сад,14,168,14,10.357142448425293,11.106625931731127,37.83934629130464,47.53192570927898
SeasonalNaive,category,daily,Дом и сад,14,168,14,6.214285850524902,7.869470744192469,22.730179646546354,23.411441893468382
AutoARIMA,category,daily,Дом и сад,14,168,14,3.808595895767212,4.2270981313497495,15.434151333068735,14.600031399604752
AutoETS,category,daily,Дом и сад,14,168,14,3.642857074737549,4.013016502911086,14.194642641058982,13.928269998435974
Prophet,category,daily,Дом и сад,14,168,14,3.5431952785241747,4.080629829382741,13.420501104635651,13.498239118362095
Naive,category,daily,Обувь,14,168,14,1257.2857666015625,1416.0999699879949,6.295872936673992,6.147629845201345
SeasonalNaive,category,daily,Обувь,14,168,14,2762.28564453125,3213.214434176468,13.971982680251763,12.74324344689585
